Jurisdiction,NAEP_Math_2019,NAEP_Reading_2019,,
Alabama,269,253,,
Alaska,274,252,,
Arizona,280,259,,
Arkansas,274,259,,
California,276,259,,
Colorado,285,267,,
Connecticut,286,270,,
Delaware,277,260,,
Florida,279,263,,
Georgia,279,262,,
Hawaii,275,258,,
Idaho,286,266,,
Illinois,283,265,,
Indiana,286,266,,
Iowa,282,262,,
Kansas,282,263,,
Kentucky,278,263,,
Louisiana,272,257,,
Maine,282,265,,
Maryland,280,264,,
Massachusetts,294,273,,
Michigan,280,263,,
Minnesota,291,264,,
Mississippi,274,256,,
Missouri,281,263,,
Montana,284,265,,
Nebraska,285,264,,
Nevada,274,258,,
New Hampshire,287,268,,
New Jersey,292,270,,
New Mexico,269,252,,
New York,280,262,,
North Carolina,284,263,,
North Dakota,286,263,,
Ohio,286,267,,
Oklahoma,276,258,,
Oregon,280,264,,
Pennsylvania,285,264,,
Rhode Island,276,262,,
South Carolina,276,259,,
South Dakota,287,263,,
Tennessee,280,262,,
Texas,280,256,,
Utah,285,267,,
Vermont,287,268,,
Virginia,287,262,,
Washington,286,266,,
West Virginia,272,256,,
Wisconsin,289,267,,
Wyoming,286,265,,