*Burden Percentages and Rankings*,,,,,,,,
,2019,,2020,,2021,,2022,
State,Rate,Rank,Rate,Rank,Rate,Rank,Rate,Rank
U.S. Average,10.60%,,11.20%,,11.20%,,11.20%,
Alabama,9.10%,12,10.00%,18,10.00%,20,9.80%,20
Alaska,5.60%,1,5.00%,1,4.10%,1,4.60%,1
Arizona,9.40%,18,9.80%,15,9.60%,16,9.50%,15
Arkansas,10.30%,28,10.90%,29,10.70%,26,10.20%,26
California,12.20%,46,12.90%,47,13.30%,46,13.50%,46
Colorado,9.60%,22,10.10%,19,10.00%,21,9.70%,19
Connecticut,12.50%,48,13.70%,48,14.70%,49,15.40%,49
Delaware,11.30%,39,12.20%,40,12.20%,40,12.40%,42
District of Columbia,11.00%,-37,11.60%,-34,11.70%,-36,12.00%,-39
Florida,8.90%,8,9.20%,5,9.10%,9,9.10%,11
Georgia,9.00%,9,9.40%,9,9.10%,10,8.90%,8
Hawaii,13.20%,49,13.70%,49,13.90%,48,14.10%,48
Idaho,9.50%,19,10.20%,23,10.80%,29,10.70%,29
Illinois,11.20%,38,12.50%,42,12.90%,44,12.90%,44
Indiana,9.00%,10,9.30%,6,9.30%,12,9.30%,14
Iowa,11.00%,37,11.80%,35,11.50%,35,11.20%,34
Kansas,10.20%,26,10.80%,27,11.10%,31,11.20%,33
Kentucky,9.80%,23,10.20%,21,10.00%,19,9.60%,17
Louisiana,8.90%,7,9.30%,8,9.10%,11,9.10%,12
Maine,11.60%,41,12.10%,39,12.40%,42,12.40%,41
Maryland,11.90%,43,12.60%,43,11.90%,38,11.30%,35
Massachusetts,10.80%,34,11.40%,30,11.40%,34,11.50%,37
Michigan,9.60%,20,9.60%,12,9.00%,7,8.60%,5
Minnesota,12.30%,47,12.70%,44,12.40%,43,12.10%,39
Mississippi,9.40%,16,9.80%,14,9.80%,17,9.80%,21
Missouri,9.00%,11,9.50%,11,9.40%,14,9.30%,13
Montana,10.20%,27,10.80%,26,10.70%,27,10.50%,27
Nebraska,10.80%,33,11.70%,34,11.70%,37,11.50%,38
Nevada,9.40%,17,10.20%,22,9.90%,18,9.60%,18
New Hampshire,9.20%,15,9.40%,10,9.50%,15,9.60%,16
New Jersey,11.90%,44,12.80%,45,13.00%,45,13.20%,45
New Mexico,10.50%,30,11.60%,32,10.50%,25,10.20%,25
New York,14.20%,50,14.90%,50,15.20%,50,15.90%,50
North Carolina,9.60%,21,10.10%,20,10.10%,23,9.90%,23
North Dakota,9.20%,14,9.90%,16,7.90%,3,8.80%,7
Ohio,10.10%,25,10.60%,24,10.40%,24,10.00%,24
Oklahoma,8.80%,6,9.60%,13,9.00%,8,9.00%,10
Oregon,11.70%,42,11.90%,37,11.10%,32,10.80%,31
Pennsylvania,10.40%,29,10.80%,28,10.70%,28,10.60%,28
Rhode Island,11.40%,40,12.00%,38,11.70%,36,11.40%,36
South Carolina,9.20%,13,9.90%,17,9.40%,13,8.90%,9
South Dakota,8.60%,5,8.80%,4,8.70%,6,8.40%,4
Tennessee,6.90%,2,7.60%,2,7.70%,2,7.60%,3
Texas,8.40%,4,8.70%,3,8.40%,5,8.60%,6
Utah,10.90%,36,11.80%,36,11.90%,39,12.10%,40
Vermont,12.00%,45,12.80%,46,13.40%,47,13.60%,47
Virginia,10.90%,35,12.40%,41,12.40%,41,12.50%,43
Washington,10.60%,31,11.40%,31,11.00%,30,10.70%,30
West Virginia,10.00%,24,10.70%,25,10.10%,22,9.80%,22
Wisconsin,10.80%,32,11.60%,33,11.30%,33,10.90%,32
Wyoming,7.90%,3,9.30%,7,8.30%,4,7.50%,2